2025-08-13 18:29:25 [main] INFO  parciales.model.Usuario - Saldo disminuido en $0.32928 COP para usuario User 4. Nuevo saldo: $8.999999967072E7 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Valida para transacción de usuario User 4
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Compra exitosa: 6 SHIB de User 4 por 0.32928
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Venta 1 de FIL por User 5
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Venta 1 de FIL por User 5
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando venta: 1 FIL de User 5 (disponible: 0)
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Invalida para transacción de usuario User 5
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Venta fallida por cantidad insuficiente: Usuario User 5 tiene 0 FIL, quiere vender 1
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error inesperado en ejecutarVenta: No se pudo completar la venta.
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error al ejecutar transacción: No se pudo completar la venta.
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Compra 8 de ICP por User 1
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Compra 8 de ICP por User 1
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando compra: 8 ICP de User 1 por $198419.19999999998 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Usuario - Saldo disminuido en $198419.19999999998 COP para usuario User 1. Nuevo saldo: $8801580.8 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Valida para transacción de usuario User 1
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Compra exitosa: 8 ICP de User 1 por 198419.19999999998
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Compra 8 de GRT por User 2
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Compra 8 de GRT por User 2
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando compra: 8 GRT de User 2 por $3211.49664 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Usuario - Saldo disminuido en $3211.49664 COP para usuario User 2. Nuevo saldo: $8.999678850336E7 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Valida para transacción de usuario User 2
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Compra exitosa: 8 GRT de User 2 por 3211.49664
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Venta 1 de TRUMP por User 3
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Venta 1 de TRUMP por User 3
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando venta: 1 TRUMP de User 3 (disponible: 0)
